user_id,event_type,product_id,product_category,product_price,quantity,timestamp,session_id,device,country,total_amount
joshuamccoy,add_to_cart,Pants_13,Clothing,30.14,4,2026-01-27T10:28:47.425349,96c7dce8-9937-434f-9800-a20e8c3cfd3a,desktop,KN,417.36
emclaughlin,view,Shoe_4,Sports,286.87,1,2026-01-27T10:28:47.435349,caa83a7b-e665-4047-9915-33b6f39f67c2,tablet,GB,388.36
matthewsmatthew,add_to_cart,Shoe_3,Sports,685.19,5,2026-01-27T10:28:47.445349,08eeb555-dcb6-43eb-99e4-d8892fafd6fa,desktop,BB,198.58
joshuajohns,wishlist,Novel_17,Books,224.69,1,2026-01-27T10:28:47.455349,d329c4cb-7485-4b14-a221-3411fcb832dc,mobile,PW,313.11
yjohnson,wishlist,Racket_6,Sports,519.21,5,2026-01-27T10:28:47.465349,41770692-649b-4b08-974e-a72e703433be,mobile,MH,125.96
izimmerman,wishlist,Laptop_0,Electronics,415.79,2,2026-01-27T10:28:47.475349,bd34ad61-93e6-47a7-a879-b6f261c55c2b,mobile,NL,266.62
davidgreen,remove_from_cart,Lamp_1,Home,473.26,2,2026-01-27T10:28:47.485349,0b8c500b-174e-4051-826e-9d3bacce9614,desktop,SG,196.26
jerrywelch,view,Sofa_0,Home,562.62,4,2026-01-27T10:28:47.495349,3f628121-dba3-469f-8169-9707cedd848f,desktop,BZ,406.81
asanchez,view,Racket_0,Sports,111.91,5,2026-01-27T10:28:47.505349,e01c5bde-40f2-4996-afe5-8cb4bf0bf320,tablet,SD,260.8
bsmith,remove_from_cart,Sofa_3,Home,763.52,1,2026-01-27T10:28:47.515349,8fba96fc-a8c8-4f74-a0cb-194618fff51b,desktop,GN,441.85
fergusondavid,remove_from_cart,Laptop_8,Electronics,414.79,3,2026-01-27T10:28:47.525349,47e6289f-788e-4f74-a88b-09f04c5256b0,desktop,OM,244.7
nsummers,remove_from_cart,Novel_16,Books,170.75,3,2026-01-27T10:28:47.535349,6f1be9b4-1ebb-481a-b586-df0d7d981446,desktop,GR,68.44
emily19,wishlist,Shirt_4,Clothing,868.06,5,2026-01-27T10:28:47.545349,6c8e8f49-71ee-4306-86d9-1fafa7a907a1,mobile,RU,410.91
